"CODE","ja"
"NAME","日本語"
"AVO_DESC","車両をカスタマイズしましょう (supports Cities Skylines 1.20.1-f1)"
"TRN_CHOICE","言語設定"
"TRN_TOOLTIP","MODの使用言語を選択します (変更時は要再起動)
デフォルトはゲーム言語を使用します"
"TRN_SYS","ゲームの言語を使用"
"KEY_KEY","ゲーム内のホットキー"
"KEY_KEY_TT","AVOのUIで使うホットキーを定義します"
"KEY_PRS","何かキーを押してください"
"AVO_OPT_GEN","全般設定"
"AVO_OPT_GEN_ASAVE","車両の設定データのオートセーブを有効化"
"AVO_OPT_GEN_ASAVE_TT","有効時はフィールドにデータ入力が完了した時点で、
車両の設定変更がすぐに保存されます (デフォルト: 有効)"
"AVO_OPT_GEN_DEBUG","デバッグメッセージのログを有効化"
"AVO_OPT_GEN_DEBUG_TT","有効時はMODのデバッグメッセージを記録します (デフォルト: 有効)"
"AVO_OPT_GEN_GUI","ゲーム内のツールバーボタンを非表示"
"AVO_OPT_GEN_GUI_TT","メインのツールバーからUIボタンを非表示にします
AVOのUIはホットキーから起動できます (デフォルト: 無効 - UIボタンを表示)"
"AVO_OPT_GEN_SERVICE","マップロード時に利用可能なサービス車両がない場合の警告を有効化"
"AVO_OPT_GEN_SERVICE_TT","ゲーム開始時に都市サービスに車両の割り当てがない場合は、
警告が表示されます (デフォルト: 有効)"
"AVO_OPT_BAL","ゲームプレイとバランス"
"AVO_OPT_BAL_UNITS","キロメートル/時 (km/h) ではなく、マイル/時 (mph) で表示"
"AVO_OPT_BAL_UNITS_TT","速度単位の表示を、km/hからmphに変更します
(デフォルト: 無効 - km/hを使用)"
"AVO_OPT_BAL_EXT","トラックや乗用車以外で各種の数値表示を有効化"
"AVO_OPT_BAL_EXT_TT","消防車の消火速度や消防用水の容量の変更を許可、警察車両の犯罪値の回収量や逮捕者の定員を変更できます
整備車両の整備の容量やポンプ速度が変更できます (デフォルト: 無効)

ゲームプレイのバランスを崩す可能性があります (注意！ 数値は文書化していません)"
"AVO_OPT_COMP","互換性"
"AVO_OPT_COMP_MODS","MODの互換性警告を表示"
"AVO_OPT_COMP_MODS_TT","有効時は、Improved Public Transport (by BloodyPenguin) と、
Transport Lines Manager (by Klyte) で変更可能な設定を赤色で警告表示します
数値は各MODで変更して、無効の場合は色付けをしません (デフォルト: 有効)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: AVOの車両カラーリングより優先"
"AVO_OPT_COMP_VCX_TT","Vehicle Color Expander (by Klyte) が有効の場合は、恒久的に設定されます
カラーリングの管理は、Vehicle Color Expanderによって制御されます
数値は、Vehicle/Asset Color Expanderで設定します (デフォルト: 恒久的に有効)"
"AVO_OPT_COMP_NBT","No Big Trucks: 一般産業用のトラックを大型トラックに分類"
"AVO_OPT_COMP_NBT_TT","有効時は、配送トラックの一部を大型トラックとして指定できます
配送時に、No Big Trucks (by MacSergey) でブロックされます (デフォルト: 有効)"
"AVO_OPT_COMP_TRL","トレーラー車両の互換性チェックの最終更新日:"
"AVO_OPT_COMP_TRL_TT","このフィールドにはバス・トロリーバス・消防車・警察車両にある、トレーラー車両のリスト改訂日を示します
これらの車両はゲーム内では産業用トレーラーですが、AVOによって再分類されたものです"
"AVO_OPT_SUP","サポート"
"AVO_OPT_SUP_WIKI","Advanced Vehicle OptionsのWikiを開く"
"AVO_OPT_SUP_LOG","Cities:Skylines内のログフォルダを開く (output_log.txt)"
"AVO_OPT_SUP_SET","MODの設定ファイルを含むフォルダを開く"
"AVO_OPT_SUP_SET_TT","バックアップ用にこれらのファイルを確認: 
MODの設定 - AdvancedVehicleOptions_Settings.xml
MODの車両データ - AdvancedVehicleOptions_VehicleData.xml"
"AVO_MOD_CAPA","積載量: "
"AVO_MOD_BGUIDESC","車両の各種プロパティを変更"
"AVO_MOD_AV01","設定をエクスポートしました。設定ファイルはこちらで確認できます: "
"AVO_MOD_AV02","スポーン可能な車両が無いため、以下の都市サービスが正常に機能しない可能性があります"
"AVO_MOD_VO01","消防用水の容量: "
"AVO_MOD_VO02","逮捕者の収容人数: "
"AVO_MOD_VO03","ポンプ速度: "
"AVO_MOD_VO04","移動距離: "
"AVO_MOD_VO05","漁獲速度: "
"AVO_MOD_VO06","未定義の容量: "
"AVO_MOD_VO07","乗車定員: "
"AVO_MOD_VO08","貨物の積載量: "
"AVO_MOD_VO09","郵便物の積載量: "
"AVO_MOD_VO10","整備の容量: "
"AVO_MOD_VO11","病人の収容人数: "
"AVO_MOD_VO12","死体の収容人数: "
"AVO_MOD_VO13","犯罪値の回収容量: "
"AVO_MOD_VO14","消火速度: "
"AVO_MOD_VO15","有効率: "
"AVO_MOD_MP00","全ての車両"
"AVO_MOD_MP01","住民 - 自家用車"
"AVO_MOD_MP02","住民 - 自転車"
"AVO_MOD_MP03","産業 - 林業"
"AVO_MOD_MP04","産業 - 農業"
"AVO_MOD_MP05","産業 - 鉱業"
"AVO_MOD_MP06","産業 - 石油業"
"AVO_MOD_MP07","産業 - 漁業"
"AVO_MOD_MP08","産業 - 配送"
"AVO_MOD_MP09","産業 - 産業エリア"
"AVO_MOD_MP10","パトカー"
"AVO_MOD_MP11","護送車"
"AVO_MOD_MP12","消防車"
"AVO_MOD_MP13","災害救援車両"
"AVO_MOD_MP14","救急車"
"AVO_MOD_MP15","霊柩車"
"AVO_MOD_MP16","ごみ収集車"
"AVO_MOD_MP17","廃棄物運搬車"
"AVO_MOD_MP18","整備車両"
"AVO_MOD_MP19","郵便車両"
"AVO_MOD_MP20","銀行サービス"
"AVO_MOD_MP21","バス"
"AVO_MOD_MP22","都市間高速バス"
"AVO_MOD_MP23","トロリーバス"
"AVO_MOD_MP24","タクシー"
"AVO_MOD_MP25","地下鉄"
"AVO_MOD_MP26","路面電車"
"AVO_MOD_MP27","モノレール"
"AVO_MOD_MP28","ロープウェイ"
"AVO_MOD_MP29","列車 - 貨物"
"AVO_MOD_MP30","列車 - 乗客"
"AVO_MOD_MP31","船 - 貨物"
"AVO_MOD_MP32","船 - クルーズ"
"AVO_MOD_MP33","船 - 貨物フェリー"
"AVO_MOD_MP34","船 - 客用フェリー"
"AVO_MOD_MP35","飛行機 - 貨物"
"AVO_MOD_MP36","飛行機 - 乗客"
