"CODE","es"
"NAME","Español"
"AVO_DESC","Personaliza tus vehículos (compatible con Cities Skylines 1.21.1-f9)."
"TRN_CHOICE","Establecer Idioma"
"TRN_TOOLTIP","Seleccione el Idioma a usar para este mod. Requerirá
reiniciar el juego. (por defecto: Usar el Idioma del juego)"
"TRN_SYS","Usar idioma del juego"
"KEY_KEY","Tecla rápida en el juego"
"KEY_KEY_TT","Define una tecla de acceso rápido para la interfaz de usuario de AVO."
"KEY_PRS","Pulsa cualquier tecla"
"AVO_OPT_GEN","Opciones generales"
"AVO_OPT_GEN_ASAVE","Habilitar guardado automático para datos de configuración del vehículo"
"AVO_OPT_GEN_ASAVE_TT","Si está activado, todos los cambios en los vehículos se guardarán inmediatamente
una vez que la entrada de datos en un campo esté finalizada. (por defecto: habilitado)"
"AVO_OPT_GEN_DEBUG","Habilitar mensajes de depuración"
"AVO_OPT_GEN_DEBUG_TT","Si está activado, se registrarán mensajes de depuración de mods. (por defecto: habilitado)"
"AVO_OPT_GEN_GUI","Ocultar el botón en la barra de herramientas del juego"
"AVO_OPT_GEN_GUI_TT","Ocultar el botón de la interfaz de usuario de la barra de herramientas principal. Se puede acceder a la interfaz de usuario AVO
con la tecla de acceso rápido en cualquier momento. (por defecto: deshabilitado - mostrar botón de interfaz)"
"AVO_OPT_GEN_SERVICE","Habilitar advertencia si no hay servicios disponibles al cargar el mapa"
"AVO_OPT_GEN_SERVICE_TT","Se muestra una advertencia cuando se inicia el juego y los servicios de la ciudad
no tienen ningún vehículo asignado. (por defecto: habilitado)"
"AVO_OPT_BAL","Juego y Balance"
"AVO_OPT_BAL_UNITS","Mostrar Millas por hora (mph) en lugar de Kilómetro por hora (km/h)"
"AVO_OPT_BAL_UNITS_TT","Cambia la visualización de la unidad de velocidad de mph a km/h.
(por defecto: desactivado - usar km/h)"
"AVO_OPT_BAL_EXT","Habilitar varios valores para vehículos que no sean de carga o trasnporte público"
"AVO_OPT_BAL_EXT_TT","Permite modificar la Tasa de Extinción de Incendios y la Capacidad para la Seguridad contra Incendios, la
Tasa de Criminalidad Capacidad de Vehículos Policiales, Tasa de Mantenimiento y Bombeo
para vehículos de mantenimiento. (predeterminado: deshabilitado)

Puede desequilibrar el juego previsto. Los valores no están documentados."
"AVO_OPT_COMP","Compatibilidad"
"AVO_OPT_COMP_MODS","Mostrar advertencias de compatibilidad para mods"
"AVO_OPT_COMP_MODS_TT","Si está habilitado, configuraciones que se pueden modificar en Transporte público mejorado (por BloodyPenguin)
y Transport Lines Manager (por Klyte) se mostrarán con color de advertencia rojo. Los valores deben
ser editado en estos mods solamente. Si está deshabilitado, no se mostrará el coloreado. (predeterminado: activado)"
"AVO_OPT_COMP_VCX","Expansor de color de vehículos/activos: Prioridad sobre la coloración de vehículos AVO"
"AVO_OPT_COMP_VCX_TT","Configuración permanente, si el Expansor de color del vehículo (de Klyte) está activo.
La gestión del color está controlada por Vehicle Color Expander. Los valores serán
configurarse en Expansor de color de vehículo/activo. (predeterminado: permanente habilitado)"
"AVO_OPT_COMP_NBT","Sin camiones grandes: clasifique los vehículos de la industria genérica como vehículos grandes"
