"CODE","pt"
"NAME","Portuguese"
"AVO_DESC","Personalize seus veículos (suporta Cities Skylines 1.21.1-f9)."
"TRN_CHOICE","Definir linguagem"
"TRN_TOOLTIP","Selecione a linguagem a ser utilizada para este mod. Será necessária a reinicialização do jogo. (por padrão: Usar linguagem do jogo)"
"TRN_SYS","Usar linguagem do jogo"
"KEY_KEY","Atalho no Jogo"
"KEY_KEY_TT","Defina uma tecla de atalho para a interface de utilizador do AVO."
"KEY_PRS","Pressione qualquer tecla"
"AVO_OPT_GEN","Configurações gerais"
"AVO_OPT_GEN_ASAVE","Habilitar salvamento automático para dados de configuração de veículo"
"AVO_OPT_GEN_ASAVE_TT","Se ativado, todas as alterações nos veículos serão salvas imediatamente
assim que a entrada de dados em um campo for finalizada. (padrão: ativado)"
"AVO_OPT_GEN_DEBUG","Ativar registo de mensagens de depuração"
"AVO_OPT_GEN_DEBUG_TT","Se ativado, as mensagens de depuração do mod serão registadas. (predefinição: ativado)"
"AVO_OPT_GEN_GUI","Ocultar o botão da barra de ferramentas no jogo"
"AVO_OPT_GEN_GUI_TT","Ocultar o botão da interface na barra de ferramentas principal. A interface
do AVO pode ser acedida com a tecla de atalho a qualquer momento. 
(predefinição: desativado – mostrar botão da interface)"
"AVO_OPT_GEN_SERVICE","Ativar aviso de ausência de serviços disponíveis no carregamento do mapa"
"AVO_OPT_GEN_SERVICE_TT","É exibido um aviso ao iniciar o jogo quando os serviços da
cidade não têm veículos atribuídos. (predefinição: ativado)"
"AVO_OPT_BAL","Jogabilidade e Balanceamento"
"AVO_OPT_BAL_UNITS","Exibir Milhas por Hora (mph) em vez de Quilômetro por Hora (km/h)"
"AVO_OPT_BAL_UNITS_TT","Altera a exibição da unidade de velocidade de mph para km/h.
(padrão: desativado - use km/h)"
"AVO_OPT_BAL_EXT","Ativar vários valores para veículos sem carga ou não de passageiros"
"AVO_OPT_BAL_EXT_TT","Permite alterar a taxa de combate a incêndios e a capacidade dos serviços
de segurança contra incêndios, a capacidade de controlo da criminalidade
dos veículos policiais e a taxa de manutenção e de bombagem dos veículos
de manutenção. (predefinição: desativado)

Pode desequilibrar a jogabilidade pretendida. Os valores não estão documentados."
"AVO_OPT_COMP","Compatibilidade"
"AVO_OPT_COMP_MODS","Mostrar avisos de compatibilidade para mods"
"AVO_OPT_COMP_MODS_TT","Se ativado, as definições que podem ser modificadas no Improved Public Transport (BloodyPenguin)
e no Transport Lines Manager (Klyte) serão apresentadas com uma cor de aviso vermelha. Os valores
devem ser editados apenas nesses mods. Se desativado, a coloração não será exibida. 
(predefinição: ativado)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: prioridade sobre a coloração de veículos do AVO"
"AVO_OPT_COMP_VCX_TT","Definição permanente, se o Vehicle Color Expander (Klyte) estiver ativo. 
A gestão de cores é controlada pelo Vehicle Color Expander. Os valores
serão configurados no Vehicle/Asset Color Expander. 
(predefinição: permanentemente ativado)"
