"CODE","pl"
"NAME","Polski"
"AVO_DESC","Dostosuj swoje pojazdy (obsługuje Cities Skylines 1.21.1-f9)."
"TRN_CHOICE","Ustaw język"
"TRN_TOOLTIP","Ustaw język dla tego moda. Wymaga ponownego uruchomienia gry. (domyślnie: używa języka gry)"
"TRN_SYS","Użyj języka gry"
"KEY_KEY","Skróty klawiszowe w grze"
"KEY_KEY_TT","Ustaw skrót klawiszowy dla interfejsu użytkownika AVO."
"KEY_PRS","Naciśnij dowolny klawisz"
"AVO_OPT_GEN","Ustawienia ogólne"
"AVO_OPT_GEN_ASAVE","Włącz automatyczny zapis dla danych konfiguracyjnych pojazdów"
"AVO_OPT_GEN_ASAVE_TT","Jeśli opcja jest włączona, wszystkie zmiany wprowadzone w pojazdach będą zapisywane po zakończeniu wprowadzania danych w polu. (domyślnie: włączone)"
"AVO_OPT_GEN_DEBUG","Włącz rejestrowanie błędów (debug)"
"AVO_OPT_GEN_DEBUG_TT","Jeśli opcja jest włączona, komunikaty debugowania modyfikacji będą rejestrowane. (domyślnie: włączone)"
"AVO_OPT_GEN_GUI","Ukryj przycisk paska narzędzi w grze"
"AVO_OPT_GEN_GUI_TT","Ukryj przycisk interfejsu na pasku narzędzi. Interfejs użytkownika AVO można wywołać skrótem klawiszowym w dowolnym momencie. (domyślnie: wyłączone - pokaż przycisk interfejsu)"
"AVO_OPT_GEN_SERVICE","Włącz ostrzeżenie dla braku dostępnych usług podczas ładowania mapy"
"AVO_OPT_GEN_SERVICE_TT","Ostrzeżenie jest wyświetlane, gdy gra jest uruchomiona i usługi miejskie
nie mają przypisanych żadnych pojazdów. (domyślnie: włączone)"
"AVO_OPT_BAL","Rozgrywka i balans"
"AVO_OPT_BAL_UNITS","Wyświetl mile (mph) zamiast kilometrów (km/h)"
"AVO_OPT_BAL_UNITS_TT","Zmienia wyświetlanie jednostki prędkości z mph na km/h.
(domyślnie: wyłączona - używa km/h)"
"AVO_OPT_BAL_EXT","Włącz różne wartości dla pojazdów nietowarowych i niepasażerskich"
"AVO_OPT_BAL_EXT_TT","Pozwala na zmianę szybkości gaszenia pożarów oraz zdolności bezpieczeństwa przeciwpożarowego, zdolności 
walki z przestępczością dla pojazdów policyjnych, wskaźnik obsługi technicznej i pompowania
dla pojazdów konserwacyjnych. (domyślnie: wyłączony)

Może destabilizować rozgrywkę w jej zamierzonej formie. Wartości nie są udokumentowane."
"AVO_OPT_COMP","Zgodność"
"AVO_OPT_COMP_MODS","Wyświetl ostrzeżenia o kompatybilności dla modów"
"AVO_OPT_COMP_MODS_TT","Jeśli opcja jest włączona, ustawienia, które mogą być modyfikowane w Improved Public Transport (od BloodyPenguin)
oraz Transport Lines Manager (od Klyte) będą wyświetlane w czerwonym kolorze. Wartości powinny
być edytowane tylko w tych modyfikacjach. Jeśli wyłączone, kolor nie zostanie wyświetlony. (domyślnie: włączone)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: Priorytet nad barwą pojazdów AVO"
"AVO_OPT_COMP_VCX_TT","Stałe ustawienie, jeśli modyfikacja Vehicle Color Expander (od Klyte) jest aktywna. 
Zarządzanie kolorami jest sterowane przez Vehicle Color Expander. Wartości 
zostaną skonfigurowane w Vehicle/Asset Color Expander (domyślnie: włączony)"
"AVO_OPT_COMP_NBT","Brak dużych ciężarówek: klasyfikuj pojazdy przemysłowe jako duże pojazdy"
"AVO_OPT_COMP_NBT_TT","Jeśli opcja jest włączona, pojazdy dostawcze mogą być oznaczone jako duże pojazdy. Wysyłka 
zostanie zablokowana przez modyfikację No Big Trucks (od MacSergey). (domyślnie: włączone)"
"AVO_OPT_COMP_TRL","Odniesienia do kompatybilności przyczep pojazdów ostatnio aktualizowane:"
"AVO_OPT_COMP_TRL_TT","To pole pokazuje datę zmiany listy pojazdów dla autobusu, trolejbusu, przyczep straży pożarnej oraz policji, które realnym świecie są
przyczepami przemysłowymi, ale zostały przekategoryzowane przez AVO."
"AVO_OPT_SUP","Wsparcie"
"AVO_OPT_SUP_WIKI","Otwórz Wiki dla Zaawansowanych Opcji Pojazdów"
"AVO_OPT_SUP_XMLEDIT","Aktualizacja wsadowa - Edytor konfiguracji XML"
"AVO_OPT_SUP_OPENXML","Otwórz edytor XML konfiguracji"
"AVO_OPT_SUP_LOG","Otwórz katalog dziennika logów Cities: Skylines (output_log.txt)"
"AVO_OPT_SUP_SET","Otwórz katalog z plikami konfiguracji dla modyfikacji"
