"CODE","de"
"NAME","Deutsch"
"AVO_DESC","Ändere fahrzeugspezifische Werte (kompatibel mit Cities Skylines 1.21.1-f9)."
"TRN_CHOICE","Sprache festlegen"
"TRN_TOOLTIP","Wählen Sie die Sprache aus, die für diese Mod verwendet werden soll.
Benötigt einen Neustart des Spiels. (Standard: Benutze die Spielsprache)"
"TRN_SYS","Spieleinstellung übernehmen"
"KEY_KEY","Hotkey im Spiel"
"KEY_KEY_TT","Definiere einen Hotkey, um das AVO Interface zu aktivieren."
"KEY_PRS","Beliebige Taste drücken"
"AVO_OPT_GEN","Allgemeine Einstellungen"
"AVO_OPT_GEN_ASAVE","Aktiviere automatisches Speichern für Änderungen an Fahrzeugdaten"
"AVO_OPT_GEN_ASAVE_TT","Wenn aktiviert, werden alle Änderungen an Fahrzeugen sofort gespeichert,
sobald die Dateneingabe in einem Feld abgeschlossen ist. (Standard: aktiviert)"
"AVO_OPT_GEN_DEBUG","Aktiviere erweiterte Log-Meldungen"
"AVO_OPT_GEN_DEBUG_TT","Falls aktiviert, werden zusätzliche Information durch AVO in die Log-Datei des Spiels geschrieben. (Standard: deaktiviert)"
"AVO_OPT_GEN_GUI","Schaltfläche des Mods ausblenden"
"AVO_OPT_GEN_GUI_TT","Den UI Button in der Hauptleiste ausblenden. Auf die AVO-Benutzeroberfläche kann jederzeit
mit dem Hotkey zugegriffen werden. (Standard: deaktiviert - UI-Schaltfläche anzeigen)"
"AVO_OPT_GEN_SERVICE","Überprüfung auf Service-Verfügbarkeit bei Spielstart"
"AVO_OPT_GEN_SERVICE_TT","Eine Warnung wird angezeigt, wenn das Spiel gestartet wird und städtischen
Diensten keine Fahrzeuge zugewiesen wurden. (Standard: aktiviert)"
"AVO_OPT_BAL","Spieleinstellungen"
"AVO_OPT_BAL_UNITS","Verwende Meilen pro Stunde (mph) anstelle von Kilometer pro Stunde (km/h)"
"AVO_OPT_BAL_UNITS_TT","Ändert die Anzeige der Einheit der Geschwindigkeit von mph auf km/h.
(Standard: deaktiviert - Anzeige in km/h)"
"AVO_OPT_BAL_EXT","Aktiviere Anzeige zusätzlicher Fahrzeugoptionen"
"AVO_OPT_BAL_EXT_TT","Falls aktiviert, werden zusätzlich die Feuerlöschrate und Kapazität für Feuerwehr-
Einheiten, die Kriminialitätsbekämpfungsrate und Kapazität für Polizei-Einheiten,
die Wartungs- und Pumprate für Wartungs-Einheiten. (Standard: deaktiviert) 

Achtung: Änderungen dieser Werte können die Spielbalance negativ beeinflussen.
Die Werte sind nicht ausreichend dokumentiert."
"AVO_OPT_COMP","Kompatibilität"
"AVO_OPT_COMP_MODS","Zeige Kompatibilitätwarnungen bei Mods"
"AVO_OPT_COMP_MODS_TT","Falls aktiviert, zeigt AVO alle Werte in roter Warnfarbe, die durch Improved Public Transport (von BloodyPenguin)
oder Transport Lines Manager (von Klyte) kontrolliert werden. Die Werte sollten nur in diesen Mods geändert werden.
Falls deaktiviert, wird keine Warnfarbe angezeigt. (Standard: aktiviert)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: Vorrang vor AVO Farboptionen"
"AVO_OPT_COMP_VCX_TT","Permanente Einstellung, wenn Vehicle/Asset Color Expander (durch Klyte) aktiv ist. 
Die Farbverwaltung wird von Vehicle/Asset Color Expander kontrolliert. Werte werden
in Vehicle/Asset Color Expander konfiguriert. (Standard: permanent aktiviert)"
"AVO_OPT_COMP_NBT","No Big Trucks: Einstellung für Grosse Fahrzeuge"
"AVO_OPT_COMP_NBT_TT","Wenn aktiviert, können Fahrzeuge mit Anhänger als grosses Fahrzeuge markiert
werden. Die Belieferung von kleinen Gebäuden duch diese Fahrzeuge wird dann 
von No Big Trucks (by MacSergey) blockiert. (Standard: aktiviert)"
"AVO_OPT_COMP_TRL","Fahrzeuganhänger-Referenzen zuletzt aktualisiert:"
"AVO_OPT_COMP_TRL_TT","Dieses Feld zeigt das Revisionsdatum der Fahrzeugliste für den Bus, Trolley-Bus,
Feuerwehr- und Polizeianhänger die im Spiel als Anhänger für Industriefahrzeuge
sind, aber von AVO neu kategorisiert werden können."
"AVO_OPT_SUP","Support"
"AVO_OPT_SUP_WIKI","Öffne die Advanced Vehicle Options Wiki"
"AVO_OPT_SUP_XMLEDIT","XML Konfigurationseditor (nur für Steam)"
"AVO_OPT_SUP_OPENXML","Starten des XML Konfigurationseditors"
"AVO_OPT_SUP_LOG","Öffne das Cities:Skylines Log-Verzeichnis (output_log.txt)"
"AVO_OPT_SUP_SET","Ordner mit Mod-Konfigurationsdateien öffnen"
"AVO_OPT_SUP_SET_TT","Dieser Ordner enthält alle Mod-Daten für die manuelle Sicherung: 
Mod-Einstellungen - AdvancedVehicleOptions_Settings.xml   
Mod Vehicle Daten - AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","Unterstütze/Korrigiere Übersetzungen auf Crowdin"
"AVO_MOD_CAPA","Kapazität: "
"AVO_MOD_BGUIDESC","Modifiziere die Eigenschaften von Fahrzeugen"
"AVO_MOD_AV01","Die Fahrzeugkonfiguration wurde exportiert. Die Konfigurationsdatei befindet sich hier: "
"AVO_MOD_AV02","Die folgenden städtischen Dienste werden nicht korrekt funktionieren, da für diese keine Fahrzeuge aktiviert wurden:"
"AVO_MOD_VO01","Wasser: "
"AVO_MOD_VO02","Verbrecher: "
"AVO_MOD_VO03","Pump-Rate: "
"AVO_MOD_VO04","Fahrdistanz: "
"AVO_MOD_VO05","Fischfang-Rate: "
"AVO_MOD_VO06","Unbekannte Kapazität: "
"AVO_MOD_VO07","Kapazität Passagiere: "
"AVO_MOD_VO08","Kapazität Fracht: "
"AVO_MOD_VO09","Kapazität Post: "
"AVO_MOD_VO10","Kapazität Wartung: "
"AVO_MOD_VO11","Kapazität Patienten: "
"AVO_MOD_VO12","Kapazität Leichen: "
"AVO_MOD_VO13","Bekämpfungsrate: "
"AVO_MOD_VO14","Feuerlöschrate: "
"AVO_MOD_VO15","Effizienz-Rate: "
"AVO_MOD_CAT00","Alle Fahrzeuge"
"AVO_MOD_CAT01","Einwohner - Autos"
"AVO_MOD_CAT02","Einwohner - Fahrräder"
"AVO_MOD_CAT03","Industrie - Forst"
"AVO_MOD_CAT04","Industrie - Landwirtschaft"
"AVO_MOD_CAT05","Industrie - Erz"
"AVO_MOD_CAT06","Industrie - Öl"
"AVO_MOD_CAT07","Industrie - Fisch"
"AVO_MOD_CAT08","Industrie - Standard"
"AVO_MOD_CAT09","Industrie - Fabriken"
"AVO_MOD_CAT10","Polizei"
"AVO_MOD_CAT11","Justizvollzug"
"AVO_MOD_CAT12","Feuerwehr"
"AVO_MOD_CAT13","Katastrophenschutz"
"AVO_MOD_CAT14","Gesundheitswesen"
"AVO_MOD_CAT15","Bestattungswesen"
"AVO_MOD_CAT16","Abfall"
"AVO_MOD_CAT17","Abfall-Transfer"
"AVO_MOD_CAT18","Wartung"
