"CODE","it"
"NAME","Italiano"
"AVO_DESC","Personalizza i tuoi veicoli (supporta Cities Skylines 1.20.1-f1)."
"TRN_CHOICE","Imposta lingua"
"TRN_TOOLTIP","Seleziona la lingua da usare per questa mod. Richiederà
il riavvio del gioco. (predefinito: Usa la lingua di gioco)"
"TRN_SYS","Usa la lingua del gioco"
"KEY_KEY","Scorciatoia In-Game"
"KEY_KEY_TT","Definisci un tasto di scelta rapida per l'interfaccia utente AVO."
"KEY_PRS","Premi un tasto qualsiasi"
"AVO_OPT_GEN","Impostazioni Generali"
"AVO_OPT_GEN_ASAVE","Abilita salvataggio automatico per i dati di configurazione del veicolo"
"AVO_OPT_GEN_ASAVE_TT","Se abilitata, tutte le modifiche sui veicoli saranno salvate immediatamente
una volta che la voce dei dati in un campo sarà finalizzata. (predefinito: abilitato)"
"AVO_OPT_GEN_DEBUG","Abilita registrazione messaggi di debug"
"AVO_OPT_GEN_DEBUG_TT","Se abilitato, i messaggi di debug delle mod saranno registrati. (predefinito: abilitato)"
"AVO_OPT_GEN_GUI","Nascondi il pulsante nella barra degli strumenti In-Game"
"AVO_OPT_GEN_GUI_TT","Nascondi il pulsante UI dalla barra degli strumenti principale. L'interfaccia utente AVO può essere
accessibile con il tasto Scorciatoia in qualsiasi momento. (predefinito: disabilitato - mostra pulsante UI)"
"AVO_OPT_GEN_SERVICE","Abilita avviso per nessun servizio disponibile al caricamento della mappa"
"AVO_OPT_GEN_SERVICE_TT","Un avviso viene mostrato quando si avvia la partita e i servizi della città
non hanno nessun veicolo assegnato. (predefinito: abilitato)"
"AVO_OPT_BAL","Gameplay e bilanciamento"
"AVO_OPT_BAL_UNITS","Mostra Miglia per Ora (mph) invece di Chilometri per Ora (km/h)"
"AVO_OPT_BAL_UNITS_TT","Cambia la visualizzazione dell'unità di velocità da mph a km/h.
(predefinito: disabilitato - usa km/h)"
"AVO_OPT_BAL_EXT","Abilita vari valori per i veicoli non merci e non passeggeri"
"AVO_OPT_BAL_EXT_TT","Consente di modificare la velocità e la capacità antincendio per la sicurezza antincendio, la 
capacità del tasso di criminalità per i veicoli di polizia, il tasso di manutenzione e di pompaggio
per i veicoli di manutenzione. (predefinito: disabilitato)

Può sbilanciare il gameplay previsto. I valori non sono documentati."
"AVO_OPT_COMP","Compatibilità"
"AVO_OPT_COMP_MODS","Visualizza gli avvertimenti di compatibilità per le mod"
"AVO_OPT_COMP_MODS_TT","Se abilitato, le impostazioni che possono essere modificate nei Improved Public Transport (by BloodyPenguin)
e Transport Lines Manager (di Klyte) saranno mostrate con il colore rosso dell'avviso. I valori dovrebbero
essere modificati solo in queste modalità. Se disabilitata, la colorazione non verrà mostrata. (predefinito: abilitato)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: Priorità sulla colorazione del veicolo AVO"
"AVO_OPT_COMP_VCX_TT","Impostazione permanente, se lVehicle Color Expander (by Klyte) è attivo. 
La gestione del colore è controllata dall'Espansione colore del veicolo. I valori saranno 
configurati in Vehicle/Asset Color Expander. (predefinito: permanente abilitato)"
"AVO_OPT_COMP_NBT","Nessun grande camion (No Big Trucks): Classifica i veicoli dell'industria generica come veicoli di grandi dimensioni"
"AVO_OPT_COMP_NBT_TT","Se abilitata, Delivery Trucks possono essere etichettati come Veicoli di Grandi dimensioni. La spedizione 
sarà bloccata da No Big Trucks (by MacSergey). (predefinito: abilitato)"
"AVO_OPT_COMP_TRL","Ultimo aggiornamento dei riferimenti di compatibilità veicolo Trailer:"
"AVO_OPT_COMP_TRL_TT","Questo campo mostra la data di revisione della lista dei veicoli trailers: Autobus, 
FiloBus, Pompieri e Polizia, che sono nella realtà 
rimorchi industriali, ma sono stati riclassificati da AVO."
"AVO_OPT_SUP","Supporto"
"AVO_OPT_SUP_WIKI","Apri il Wiki di Advanced Vehicle Options"
"AVO_OPT_SUP_LOG","Apri la cartella di registro di Cities: Skylines (output_log.txt)"
"AVO_OPT_SUP_SET","Apri la cartella con i file di configurazione della mod"
"AVO_OPT_SUP_SET_TT","Controlla questi file per il backup: 
Mod Settings - AdvancedVehicleOptions_Settings.xml   
Mod Vehicle Data - AdvancedVehicleOptions_VehicleData.xml"
"AVO_MOD_CAPA","Capacità: "
"AVO_MOD_BGUIDESC","Modifica varie proprietà del veicolo"
"AVO_MOD_AV01","La tua configurazione è stata esportata. Il file di configurazione può essere trovato qui: "
"AVO_MOD_AV02","I seguenti servizi potrebbero non funzionare correttamente perché nessun veicolo è abilitato per la generazione:"
"AVO_MOD_VO01","Capacità Antincendio: "
"AVO_MOD_VO02","Criminalità: "
"AVO_MOD_VO03","Tasso Di Pompaggio: "
"AVO_MOD_VO04","Distanza Di Viaggio: "
"AVO_MOD_VO05","Tasso Di Pesca: "
"AVO_MOD_VO06","Capacità Non Specificata: "
"AVO_MOD_VO07","Capienza passeggeri: "
"AVO_MOD_VO08","Capacità di carico: "
"AVO_MOD_VO09","Capacità Postale: "
"AVO_MOD_VO10","Capacità Di Manutenzione: "
